sid,acc_eeg_only,kappa_eeg_only,itr_eeg_only,left_recall_eeg_only,right_recall_eeg_only,acc_emg_only,kappa_emg_only,itr_emg_only,left_recall_emg_only,right_recall_emg_only,acc_fusion,kappa_fusion,itr_fusion,left_recall_fusion,right_recall_fusion
1,0.665,0.33,1.0673,0.53,0.8,0.555,0.11,0.1166,0.73,0.38,0.63,0.26,0.6577,0.4,0.86
2,0.575,0.15,0.2172,0.62,0.53,0.625,0.25,0.6075,0.77,0.48,0.625,0.25,0.6075,0.64,0.61
3,0.965,0.93,10.415,0.94,0.99,0.65,0.3,0.8791,0.64,0.66,0.97,0.94,10.7414,0.97,0.97
4,0.905,0.81,7.2941,0.94,0.87,0.59,0.18,0.3133,0.46,0.72,0.89,0.78,6.6678,0.9,0.88
5,0.72,0.44,1.9273,0.52,0.92,0.59,0.18,0.3133,0.63,0.55,0.715,0.43,1.8377,0.46,0.97
6,0.715,0.43,1.8377,0.73,0.7,0.87,0.74,5.9008,0.85,0.89,0.84,0.68,4.8759,0.88,0.8
7,0.6375,0.275,0.7368,0.541667,0.733333,0.645833,0.291667,0.8302,0.458333,0.833333,0.620833,0.241667,0.5673,0.416667,0.825
8,0.605,0.21,0.4273,0.71,0.5,0.735,0.47,2.2107,0.54,0.93,0.66,0.32,1.0024,0.55,0.77
9,0.770833,0.541667,2.9793,0.625,0.916667,0.5625,0.125,0.1507,0.65,0.475,0.783333,0.566667,3.2795,0.691667,0.875
10,0.87,0.74,5.9008,0.92,0.82,0.545,0.09,0.078,0.71,0.38,0.85,0.7,5.2021,0.85,0.85
11,0.755,0.51,2.6232,0.69,0.82,0.585,0.17,0.2793,0.43,0.74,0.69,0.38,1.4244,0.52,0.86
12,0.75,0.5,2.5163,0.75,0.75,0.625,0.25,0.6075,0.33,0.92,0.655,0.31,0.9397,0.46,0.85
13,0.71,0.42,1.7504,0.7,0.72,0.515,0.03,0.0087,0.36,0.67,0.69,0.38,1.4244,0.67,0.71
14,0.975,0.95,11.0845,0.97,0.98,0.63,0.26,0.6577,0.52,0.74,0.965,0.93,10.415,0.96,0.97
15,0.7,0.4,1.5828,0.56,0.84,0.69,0.38,1.4244,0.49,0.89,0.78,0.56,3.1978,0.62,0.94
16,0.645,0.29,0.8206,0.61,0.68,0.85,0.7,5.2021,0.93,0.77,0.72,0.44,1.9273,0.82,0.62
17,0.565,0.13,0.163,0.63,0.5,0.535,0.07,0.0472,0.68,0.39,0.585,0.17,0.2793,0.69,0.48
18,0.72,0.44,1.9273,0.77,0.67,0.555,0.11,0.1166,0.62,0.49,0.735,0.47,2.2107,0.68,0.79
19,0.675,0.35,1.2035,0.76,0.59,0.95,0.9,9.5147,0.92,0.98,0.85,0.7,5.2021,0.8,0.9
20,0.655,0.31,0.9397,0.57,0.74,0.89,0.78,6.6678,0.95,0.83,0.855,0.71,5.3709,0.87,0.84
21,0.765,0.53,2.845,0.7,0.83,0.695,0.39,1.5024,0.66,0.73,0.78,0.56,3.1978,0.77,0.79
22,0.815,0.63,4.1214,0.75,0.88,0.775,0.55,3.0774,0.74,0.81,0.81,0.62,3.9804,0.66,0.96
23,0.91,0.82,7.5137,0.91,0.91,0.625,0.25,0.6075,0.51,0.74,0.895,0.79,6.8714,0.96,0.83
24,0.77,0.54,2.9598,0.68,0.86,0.545,0.09,0.078,0.34,0.75,0.725,0.45,2.0194,0.51,0.94
25,0.73,0.46,2.1138,0.54,0.92,0.635,0.27,0.7099,0.54,0.73,0.725,0.45,2.0194,0.58,0.87
26,0.8,0.6,3.7076,0.76,0.84,0.63,0.26,0.6577,0.49,0.77,0.75,0.5,2.5163,0.71,0.79
27,0.6,0.2,0.3873,0.67,0.53,0.655,0.31,0.9397,0.65,0.66,0.615,0.23,0.5134,0.59,0.64
28,0.51,0.02,0.0038,0.58,0.44,0.525,0.05,0.0241,0.35,0.7,0.53,0.06,0.0346,0.37,0.69
29,0.635,0.27,0.7099,0.69,0.58,0.93,0.86,8.4544,0.93,0.93,0.895,0.79,6.8714,0.87,0.92
30,0.64,0.28,0.7642,0.48,0.8,0.775,0.55,3.0774,0.94,0.61,0.82,0.64,4.2656,0.84,0.8
31,0.685,0.37,1.3485,0.6,0.77,0.575,0.15,0.2172,0.49,0.66,0.725,0.45,2.0194,0.66,0.79
32,0.605,0.21,0.4273,0.54,0.67,0.605,0.21,0.4273,0.56,0.65,0.58,0.16,0.2473,0.46,0.7
33,0.7,0.4,1.5828,0.7,0.7,0.68,0.36,1.2749,0.61,0.75,0.73,0.46,2.1138,0.71,0.75
34,0.555,0.11,0.1166,0.48,0.63,0.975,0.95,11.0845,0.96,0.99,0.76,0.52,2.7328,0.58,0.94
35,0.65,0.3,0.8791,0.56,0.74,0.54,0.08,0.0616,0.7,0.38,0.645,0.29,0.8206,0.56,0.73
36,0.675,0.35,1.2035,0.55,0.8,0.545,0.09,0.078,0.45,0.64,0.66,0.32,1.0024,0.46,0.86
37,0.6,0.2,0.3873,0.44,0.76,0.635,0.27,0.7099,0.6,0.67,0.66,0.32,1.0024,0.68,0.64
38,0.665,0.33,1.0673,0.67,0.66,0.635,0.27,0.7099,0.75,0.52,0.69,0.38,1.4244,0.6,0.78
39,0.725,0.45,2.0194,0.73,0.72,0.645,0.29,0.8206,0.67,0.62,0.695,0.39,1.5024,0.72,0.67
40,0.61,0.22,0.4693,0.43,0.79,0.53,0.06,0.0346,0.71,0.35,0.55,0.1,0.0963,0.63,0.47
41,0.96,0.92,10.1028,0.95,0.97,0.54,0.08,0.0616,0.48,0.6,0.935,0.87,8.7069,0.92,0.95
42,0.725,0.45,2.0194,0.64,0.81,0.52,0.04,0.0154,0.49,0.55,0.69,0.38,1.4244,0.72,0.66
43,0.98,0.96,11.4475,0.98,0.98,0.69,0.38,1.4244,0.59,0.79,0.985,0.97,11.8352,1.0,0.97
44,0.715,0.43,1.8377,0.64,0.79,0.695,0.39,1.5024,0.76,0.63,0.775,0.55,3.0774,0.69,0.86
45,0.705,0.41,1.6654,0.65,0.76,0.565,0.13,0.163,0.38,0.75,0.665,0.33,1.0673,0.57,0.76
46,0.691667,0.383333,1.4501,0.6,0.783333,0.583333,0.166667,0.2684,0.575,0.591667,0.733333,0.466667,2.1781,0.741667,0.725
47,0.695,0.39,1.5024,0.65,0.74,0.57,0.14,0.1891,0.71,0.43,0.725,0.45,2.0194,0.7,0.75
48,0.96,0.92,10.1028,0.97,0.95,0.745,0.49,2.4119,0.76,0.73,0.935,0.87,8.7069,0.94,0.93
49,0.74,0.48,2.31,0.63,0.85,0.61,0.22,0.4693,0.72,0.5,0.67,0.34,1.1343,0.58,0.76
50,0.785,0.57,3.3209,0.78,0.79,0.645,0.29,0.8206,0.4,0.89,0.795,0.59,3.5758,0.78,0.81
51,0.68,0.36,1.2749,0.72,0.64,0.655,0.31,0.9397,0.88,0.43,0.68,0.36,1.2749,0.65,0.71
52,0.66,0.32,1.0024,0.57,0.75,0.635,0.27,0.7099,0.6,0.67,0.635,0.27,0.7099,0.5,0.77
