sid,is_bias,acc_v4,kappa_v4,left_recall_v4,right_recall_v4,recall_diff_v4,bias_v4,acc_flip,kappa_flip,left_recall_flip,right_recall_flip,recall_diff_flip,bias_flip
1,True,0.63,0.26,0.4,0.86,0.46,0.103431,0.495,-0.01,0.19,0.8,0.61,0.504163
2,False,0.625,0.25,0.64,0.61,-0.03,-0.325658,0.5,0.0,0.0,1.0,1.0,0.629228
3,False,0.97,0.94,0.97,0.97,0.0,-3.335147,0.645,0.29,0.39,0.9,0.51,0.061434
4,False,0.89,0.78,0.9,0.88,-0.02,-1.482831,0.5,0.0,0.0,1.0,1.0,0.71163
5,True,0.715,0.43,0.46,0.97,0.51,0.027689,0.645,0.29,0.31,0.98,0.67,0.378921
6,False,0.84,0.68,0.88,0.8,-0.08,-1.727699,0.785,0.57,0.58,0.99,0.41,0.083242
7,True,0.620833,0.241667,0.416667,0.825,0.408333,0.23181,0.658333,0.316667,0.433333,0.883333,0.45,0.241806
8,False,0.66,0.32,0.55,0.77,0.22,0.027326,0.62,0.24,0.69,0.55,-0.14,-0.138864
9,False,0.783333,0.566667,0.691667,0.875,0.183333,-0.422932,0.5,0.0,0.0,1.0,1.0,0.914697
10,False,0.85,0.7,0.85,0.85,0.0,-1.135189,0.5,0.0,0.26,0.74,0.48,0.468322
11,True,0.69,0.38,0.52,0.86,0.34,0.043374,0.575,0.15,0.4,0.75,0.35,0.257855
12,True,0.655,0.31,0.46,0.85,0.39,0.058586,0.515,0.03,0.05,0.98,0.93,1.749192
13,False,0.69,0.38,0.67,0.71,0.04,-0.31576,0.5,0.0,0.0,1.0,1.0,0.677185
14,False,0.965,0.93,0.96,0.97,0.01,-1.34674,0.5,0.0,0.0,1.0,1.0,0.642306
15,True,0.78,0.56,0.62,0.94,0.32,-0.131561,0.68,0.36,0.38,0.98,0.6,0.472507
16,False,0.72,0.44,0.82,0.62,-0.2,-0.73854,0.505,0.01,0.01,1.0,0.99,0.57755
17,False,0.585,0.17,0.69,0.48,-0.21,-0.292136,0.505,0.01,0.01,1.0,0.99,0.458006
18,False,0.735,0.47,0.68,0.79,0.11,-0.20567,0.505,0.01,0.01,1.0,0.99,0.606913
19,False,0.85,0.7,0.8,0.9,0.1,-0.499511,0.54,0.08,0.08,1.0,0.92,0.351518
20,False,0.855,0.71,0.87,0.84,-0.03,-0.626826,0.865,0.73,0.93,0.8,-0.13,-0.365605
21,False,0.78,0.56,0.77,0.79,0.02,-1.085552,0.76,0.52,0.65,0.87,0.22,-0.752554
22,False,0.81,0.62,0.66,0.96,0.3,-0.924273,0.765,0.53,0.57,0.96,0.39,-0.29828
23,False,0.895,0.79,0.96,0.83,-0.13,-2.922647,0.875,0.75,0.8,0.95,0.15,-1.235075
24,True,0.725,0.45,0.51,0.94,0.43,-0.095654,0.74,0.48,0.6,0.88,0.28,-0.585418
25,False,0.725,0.45,0.58,0.87,0.29,-0.029541,0.63,0.26,0.31,0.95,0.64,0.319631
26,False,0.75,0.5,0.71,0.79,0.08,-0.472372,0.725,0.45,0.69,0.76,0.07,-0.094839
27,False,0.615,0.23,0.59,0.64,0.05,-0.189593,0.52,0.04,0.14,0.9,0.76,0.345067
28,False,0.53,0.06,0.37,0.69,0.32,0.085395,0.51,0.02,0.11,0.91,0.8,1.753588
29,False,0.895,0.79,0.87,0.92,0.05,-1.08615,0.875,0.75,0.76,0.99,0.23,-0.180277
30,False,0.82,0.64,0.84,0.8,-0.04,-0.55711,0.595,0.19,0.26,0.93,0.67,0.483964
31,False,0.725,0.45,0.66,0.79,0.13,-0.110825,0.68,0.36,0.47,0.89,0.42,0.155108
32,False,0.58,0.16,0.46,0.7,0.24,0.290139,0.515,0.03,0.06,0.97,0.91,0.750517
33,False,0.73,0.46,0.71,0.75,0.04,-0.369553,0.665,0.33,0.53,0.8,0.27,-0.123028
34,True,0.76,0.52,0.58,0.94,0.36,-0.112227,0.5,0.0,0.0,1.0,1.0,0.610932
35,False,0.645,0.29,0.56,0.73,0.17,0.378623,0.635,0.27,0.58,0.69,0.11,-0.016205
36,True,0.66,0.32,0.46,0.86,0.4,0.54579,0.61,0.22,0.35,0.87,0.52,0.882008
37,False,0.66,0.32,0.68,0.64,-0.04,-0.241916,0.555,0.11,0.37,0.74,0.37,0.352343
38,False,0.69,0.38,0.6,0.78,0.18,-0.015983,0.69,0.38,0.67,0.71,0.04,-0.153648
39,False,0.695,0.39,0.72,0.67,-0.05,-0.555084,0.73,0.46,0.81,0.65,-0.16,-0.556357
40,False,0.55,0.1,0.63,0.47,-0.16,-0.102775,0.515,0.03,0.43,0.6,0.17,0.315797
41,False,0.935,0.87,0.92,0.95,0.03,-1.742906,0.95,0.9,0.92,0.98,0.06,-1.593483
42,False,0.69,0.38,0.72,0.66,-0.06,-0.412204,0.725,0.45,0.67,0.78,0.11,-0.262215
43,False,0.985,0.97,1.0,0.97,-0.03,-2.989257,0.985,0.97,0.98,0.99,0.01,-5.79975
44,False,0.775,0.55,0.69,0.86,0.17,-0.426031,0.71,0.42,0.56,0.86,0.3,-0.441284
45,False,0.665,0.33,0.57,0.76,0.19,-0.027764,0.51,0.02,0.02,1.0,0.98,1.118485
46,False,0.733333,0.466667,0.741667,0.725,-0.016667,-0.286422,0.625,0.25,0.508333,0.741667,0.233334,-0.084604
47,False,0.725,0.45,0.7,0.75,0.05,-0.724233,0.555,0.11,0.62,0.49,-0.13,-0.301468
48,False,0.935,0.87,0.94,0.93,-0.01,-2.204214,0.93,0.86,0.91,0.95,0.04,-2.940015
49,False,0.67,0.34,0.58,0.76,0.18,-0.11508,0.695,0.39,0.6,0.79,0.19,-0.336161
50,False,0.795,0.59,0.78,0.81,0.03,-1.010628,0.58,0.16,0.36,0.8,0.44,0.292818
51,False,0.68,0.36,0.65,0.71,0.06,-0.03251,0.685,0.37,0.73,0.64,-0.09,-0.434932
52,False,0.635,0.27,0.5,0.77,0.27,-0.122128,0.51,0.02,0.02,1.0,0.98,0.657926
